n_tests,k,baseline_ms,proposed_ms,ms_improvement,baseline_ftrr,proposed_ftrr,ftrr_improvement
20,5,80.0,100.0,20.0,83.33333333333334,66.66666666666666,-16.666666666666675
20,10,60.0,90.0,30.0,100.0,100.0,0.0
20,20,60.0,95.0,35.0,100.0,100.0,0.0
20,25,60.0,96.0,36.0,100.0,100.0,0.0
50,5,80.0,100.0,20.0,83.33333333333334,66.66666666666666,-16.666666666666675
50,10,70.0,90.0,20.0,100.0,100.0,0.0
50,20,60.0,95.0,35.0,100.0,100.0,0.0
50,25,60.0,96.0,36.0,100.0,100.0,0.0
100,5,80.0,100.0,20.0,66.66666666666666,66.66666666666666,0.0
100,10,70.0,90.0,20.0,100.0,100.0,0.0
100,20,60.0,95.0,35.0,100.0,100.0,0.0
100,25,60.0,96.0,36.0,100.0,100.0,0.0
200,5,80.0,100.0,20.0,83.33333333333334,66.66666666666666,-16.666666666666675
200,10,70.0,90.0,20.0,100.0,100.0,0.0
200,20,60.0,95.0,35.0,100.0,100.0,0.0
200,25,60.0,96.0,36.0,100.0,100.0,0.0
